"run","diffusivity","surface_conc","polymer_conc","hindering","reaction_rate"
1,1e-12,0.00472947216809795,0.00526344462856449,1293.85208538103,0.0230651663487553
2,1.0783970561663e-12,0.00419139934721059,0.00595777734502907,1791.22793520653,0.00933655143227395
3,1.16735075645538e-12,0.00495704950109325,0.00548503400754472,2226.80770719254,0.00254379207278327
4,1.30386770700871e-12,0.00448989226588455,0.00507300437607647,1974.69344794859,0.069708755888718
5,1.35652156432442e-12,0.00410059381861765,0.00536107043170377,1131.2149407485,10
6,1.55224475970016e-12,0.00463532360465073,0.00557827236826573,852.991764894187,0.00107696719734155
7,1.77144316105881e-12,0.00434399363511421,0.00569403112979799,1645.56950117182,4.58002052520239
8,2.08111244143169e-12,0.00488095049534778,0.00576134255045189,618.353020872532,0.281551420218986
9,2.36507739256329e-12,0.00420853327951277,0.00516366304144811,518.646816494557,0.00179329924756153
10,2.69705562564009e-12,0.00451586005919139,0.00597800526405419,1072.82516749671,2.24207796949827
11,2.84828655041637e-12,0.00403723534455957,0.00544498089468202,2046.05377735833,0.437925782542617
12,3.31887868812001e-12,0.00484904288687739,0.00528933553457612,2330.43426328589,7.93972779913367
13,4.10106948914158e-12,0.00407689202225226,0.00583156626821609,1423.86270169702,0.00130602969094998
14,4.96510715220759e-12,0.00497856184720888,0.00520693462474106,1678.50860938178,0.162691436127302
15,5.84105011764768e-12,0.00467049058943441,0.00539977631996265,500,1.58257288357069
16,6.21206619708155e-12,0.00453792603010879,0.00577478787027095,2385.5279645537,0.00557099543606336
17,7.24609124299467e-12,0.004,0.00562124211417789,1015.16108860032,0.11290299073566
18,9.26370129196524e-12,0.00436882572200766,0.00524607481008638,2125.45062263301,0.001
19,9.78818164247584e-12,0.00493413861109471,0.00501895575615443,929.473046873064,5.52482570128407
20,1.21396418568033e-11,0.00427402647919667,0.00546395612409982,736.537827387208,0.0190939324724197
21,1.45806657513178e-11,0.00414507992283745,0.00513465929757207,1840.1307902425,3.10154643028634
22,1.55029513621507e-11,0.005,0.00590259113848852,2460.14773108312,0.0471059728282649
23,2.07525355130977e-11,0.0044645037993226,0.00553518039298407,1503.1380828764,0.242317403323575
24,2.35111515520774e-11,0.00460629034967171,0.00505555770570426,583.810921126209,0.00869394229911033
25,2.84261932644991e-11,0.00469462805464129,0.00594435986469958,2066.68597670097,6.26711009813777
26,3.37309680959219e-11,0.00422561381424388,0.00532928753410612,2478.40949572576,0.718864822821341
27,3.898550410896e-11,0.00483968317806866,0.00537586163330918,990.465473418134,0.00403467585873581
28,4.96150808258495e-11,0.00400780209847294,0.00502930177337971,2249.52897664312,0.0164888882666006
29,5.33652434913156e-11,0.00444705667845575,0.00592184355388851,658.864808402181,0.00214252555797095
30,6.79483693263941e-11,0.00416409000953498,0.00574370868152409,1237.19984776181,0.0409743496404438
31,7.95693824082776e-11,0.00476726567730426,0.00509462723886893,1760.03743680879,0.00124367478030729
32,8.29955701717392e-11,0.0049696393268194,0.006,828.945367538685,0.627370791310037
33,1.04003158548009e-10,0.00429092650823062,0.00585355723173722,1926.18543920863,1.37046426132095
34,1.2961313104973e-10,0.00481749699337782,0.00567066743762364,2154.4823385467,0.0829757642495052
35,1.35618010674817e-10,0.00408423730097526,0.00500599515315494,674.934162579626,0.937119223804247
36,1.65132242584655e-10,0.00458576625568605,0.00518591928070531,1436.70457528464,9.10800799988985
37,2.04592933363814e-10,0.00406452873125037,0.00598808705348408,2361.91293492208,0.197860341245405
38,2.52098570975935e-10,0.00412019462631889,0.00529958929857956,1624.87785001905,0.00285577292052512
39,2.67866189572107e-10,0.00491033536201755,0.00556214331495077,2500,3.85774975712275
40,3.14338580239358e-10,0.00475595658166387,0.00596579238324532,525.049619389349,0.0343134000901222
41,3.49416252269898e-10,0.00431440158997162,0.00511116007390479,1051.0045452351,0.320152437941095
42,4.92934961555054e-10,0.00499562639384007,0.00505019045197274,2094.54682767407,1.69350184269227
43,4.37840838227386e-10,0.00402483434808175,0.00587951931889289,878.029637248517,0.00649012783675279
44,5.36739358821345e-10,0.00425168867866391,0.00570654876933112,2287.12268966345,0.00155631635624516
45,6.07497449662653e-10,0.0044210576719974,0.00563688511673353,774.75193855096,7.38330591715788
46,6.51712827361589e-10,0.00493064817223717,0.00580482526122781,1543.22860487109,0.0120234908439583
47,7.1288081995569e-10,0.00467829260863888,0.00515442301388892,2430.38238788203,0.120335653752256
48,8.22725595636964e-10,0.00478991342650413,0.00547689821753955,1183.15425097575,1.03220048476611
49,8.94207428309638e-10,0.00439678013933602,0.005,1364.69270720618,0.00470268250959834
50,1e-09,0.00456623434630729,0.00559442173884193,1877.19875475238,0.0277295295804558
